id,name,category,price
1,Product 1,food,1100.0
2,Product 2,electronics,1200.0
3,Product 3,food,1300.0
4,Product 4,electronics,1400.0
5,Product 5,food,1500.0
6,Product 6,electronics,1600.0
7,Product 7,food,1700.0
8,Product 8,electronics,1800.0
9,Product 9,food,1900.0
10,Product 10,electronics,2000.0
11,Product 11,food,2100.0
12,Product 12,electronics,2200.0
13,Product 13,food,2300.0
14,Product 14,electronics,2400.0
15,Product 15,food,2500.0
16,Product 16,electronics,2600.0
17,Product 17,food,2700.0
18,Product 18,electronics,2800.0
19,Product 19,food,2900.0
20,Product 20,electronics,3000.0
21,Product 21,food,3100.0
22,Product 22,electronics,3200.0
23,Product 23,food,3300.0
24,Product 24,electronics,3400.0
25,Product 25,food,3500.0
26,Product 26,electronics,3600.0
27,Product 27,food,3700.0
28,Product 28,electronics,3800.0
29,Product 29,food,3900.0
30,Product 30,electronics,4000.0
31,Product 31,food,4100.0
32,Product 32,electronics,4200.0
33,Product 33,food,4300.0
34,Product 34,electronics,4400.0
35,Product 35,food,4500.0
36,Product 36,electronics,4600.0
37,Product 37,food,4700.0
38,Product 38,electronics,4800.0
39,Product 39,food,4900.0
40,Product 40,electronics,5000.0
41,Product 41,food,5100.0
42,Product 42,electronics,5200.0
43,Product 43,food,5300.0
44,Product 44,electronics,5400.0
45,Product 45,food,5500.0
46,Product 46,electronics,5600.0
47,Product 47,food,5700.0
48,Product 48,electronics,5800.0
49,Product 49,food,5900.0
50,Product 50,electronics,6000.0
51,Product 51,food,6100.0
52,Product 52,electronics,6200.0
53,Product 53,food,6300.0
54,Product 54,electronics,6400.0
55,Product 55,food,6500.0
56,Product 56,electronics,6600.0
57,Product 57,food,6700.0
58,Product 58,electronics,6800.0
59,Product 59,food,6900.0
60,Product 60,electronics,7000.0
